Pe,alpha,noise,sig_dist_from_nominal,detection_sensitivity,Nu_bias_pct,Twall_bias_pct,Pe_h_max,detected
50,0.0,0.0,0.3307857840892473,1.0,0.6416100355124933,0.09783995971865855,2.433500160745565,1
50,0.0,0.01,0.12475412879212522,1.0,0.6416100355124933,0.09783995971865855,2.433500160745565,1
50,0.5,0.0,0.10374072895876185,1.0,0.3137602674247055,0.055711446323513755,2.433500160745565,1
50,0.5,0.01,0.01629803188616208,1.0,0.3137602674247055,0.055711446323513755,2.433500160745565,1
50,1.0,0.0,0.0,0.0,0.0,0.0,2.433500160745565,0
50,1.0,0.01,0.0,0.0,0.0,0.0,2.433500160745565,0
50,1.5,0.0,0.019600490968855966,0.6041666666666666,-0.30008642727342166,-0.06862996653318158,2.433500160745565,0
50,1.5,0.01,0.0008124875499133655,1.0,-0.30008642727342166,-0.06862996653318158,2.433500160745565,1
50,2.0,0.0,0.05063545971640715,1.0,-0.5868619050702273,-0.14943927609423638,2.433500160745565,1
50,2.0,0.01,0.0029682902614146522,1.0,-0.5868619050702273,-0.14943927609423638,2.433500160745565,1
100,0.0,0.0,0.20603069119772355,1.0,1.1977748392129874,0.36232697402418357,4.86700032149113,1
100,0.0,0.01,0.16529001666756482,1.0,1.1977748392129874,0.36232697402418357,4.86700032149113,1
100,0.5,0.0,0.04678176522048816,1.0,0.5758564636114036,0.196458677643666,4.86700032149113,1
100,0.5,0.01,0.02018798856579418,1.0,0.5758564636114036,0.196458677643666,4.86700032149113,1
100,1.0,0.0,0.0,0.0,0.0,0.0,4.86700032149113,0
100,1.0,0.01,0.0,0.0,0.0,0.0,4.86700032149113,0
100,1.5,0.0,0.01268287027139281,0.9583333333333334,-0.533933502434273,-0.14413190666752887,4.86700032149113,1
100,1.5,0.01,0.0029396267605661386,1.0,-0.533933502434273,-0.14413190666752887,4.86700032149113,1
100,2.0,0.0,0.04524327375542325,1.0,-1.0296277849229098,-0.2594428548372035,4.86700032149113,1
100,2.0,0.01,0.026197277112030348,1.0,-1.0296277849229098,-0.2594428548372035,4.86700032149113,1
200,0.0,0.0,0.16669802378999155,1.0,2.004628363877494,0.4042187391270003,9.73400064298226,1
200,0.0,0.01,0.23158249325257474,1.0,2.004628363877494,0.4042187391270003,9.73400064298226,1
200,0.5,0.0,0.033818803630155436,1.0,0.9289094184690477,0.245485976930742,9.73400064298226,1
200,0.5,0.01,0.0290245263062463,1.0,0.9289094184690477,0.245485976930742,9.73400064298226,1
200,1.0,0.0,0.0,0.0,0.0,0.0,9.73400064298226,0
200,1.0,0.01,0.0,0.0,0.0,0.0,9.73400064298226,0
200,1.5,0.0,0.018847989203354176,1.0,-0.8117642943516641,-0.31659367362408836,9.73400064298226,1
200,1.5,0.01,0.015479698084748583,1.0,-0.8117642943516641,-0.31659367362408836,9.73400064298226,1
200,2.0,0.0,0.05916327202651206,1.0,-1.52841604273184,-0.6757734728019517,9.73400064298226,1
200,2.0,0.01,0.04789363831553717,1.0,-1.52841604273184,-0.6757734728019517,9.73400064298226,1
500,0.0,0.0,0.1566419136803786,1.0,3.6007690709228535,1.7447598544073433,24.33500160745565,1
500,0.0,0.01,0.30271621546954797,1.0,3.6007690709228535,1.7447598544073433,24.33500160745565,1
500,0.5,0.0,0.029836111142163002,1.0,1.5311896796034465,0.5964169207385869,24.33500160745565,1
500,0.5,0.01,0.04832792577811029,1.0,1.5311896796034465,0.5964169207385869,24.33500160745565,1
500,1.0,0.0,0.0,0.0,0.0,0.0,24.33500160745565,0
500,1.0,0.01,1.1102230246251565e-16,0.0,0.0,0.0,24.33500160745565,0
500,1.5,0.0,0.015442680496519756,1.0,-1.1841974991016442,-0.5483853996507295,24.33500160745565,1
500,1.5,0.01,0.01949782168758707,1.0,-1.1841974991016442,-0.5483853996507295,24.33500160745565,1
500,2.0,0.0,0.041929300589234275,1.0,-2.1347506165137924,-1.1040129517873456,24.33500160745565,1
500,2.0,0.01,0.04619280567225659,1.0,-2.1347506165137924,-1.1040129517873456,24.33500160745565,1
1000,0.0,0.0,0.1265346017147414,1.0,6.111328969406955,3.7043695039529836,48.6700032149113,1
1000,0.0,0.01,0.21229101115856874,1.0,6.111328969406955,3.7043695039529836,48.6700032149113,1
1000,0.5,0.0,0.022570873287034332,1.0,2.1992920918281635,1.483058891230317,48.6700032149113,1
1000,0.5,0.01,0.03736072162173898,1.0,2.1992920918281635,1.483058891230317,48.6700032149113,1
1000,1.0,0.0,0.0,0.0,0.0,0.0,48.6700032149113,0
1000,1.0,0.01,0.0,0.0,0.0,0.0,48.6700032149113,0
1000,1.5,0.0,0.010184733580771654,1.0,-1.4382827540306253,-0.9879011635346672,48.6700032149113,1
1000,1.5,0.01,0.013299068296246386,1.0,-1.4382827540306253,-0.9879011635346672,48.6700032149113,1
1000,2.0,0.0,0.027312517140816617,1.0,-2.470375395996383,-1.8689956425160206,48.6700032149113,1
1000,2.0,0.01,0.03309507540790846,1.0,-2.470375395996383,-1.8689956425160206,48.6700032149113,1
3000,0.0,0.0,0.09211051910418111,1.0,40.74232801640472,9.22783272505718,146.01000964473388,1
3000,0.0,0.01,0.10281204579738623,1.0,40.74232801640472,9.22783272505718,146.01000964473388,1
3000,0.5,0.0,0.012159417807943163,1.0,4.539108367166895,3.384133467789817,146.01000964473388,1
3000,0.5,0.01,0.014452672108402398,1.0,4.539108367166895,3.384133467789817,146.01000964473388,1
3000,1.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,146.01000964473388,0
3000,1.0,0.01,0.0,0.0,0.0,0.0,146.01000964473388,0
3000,1.5,0.0,0.005412290683089904,1.0,-1.7457507900829676,-2.5733316917514455,146.01000964473388,1
3000,1.5,0.01,0.006356746140263825,1.0,-1.7457507900829676,-2.5733316917514455,146.01000964473388,1
3000,2.0,0.0,0.014874854944054494,1.0,-2.583248236677414,-4.735695478046459,146.01000964473388,1
3000,2.0,0.01,0.017123865955274375,1.0,-2.583248236677414,-4.735695478046459,146.01000964473388,1
10000,0.0,0.0,0.07533705212545672,1.0,-71.30720828086638,22.922879237242107,486.700032149113,1
10000,0.0,0.01,0.07843519640919616,1.0,-71.30720828086638,22.922879237242107,486.700032149113,1
10000,0.5,0.0,0.012644314987922733,1.0,9.45772926309399,10.41879853672369,486.700032149113,1
10000,0.5,0.01,0.01399492049346307,1.0,9.45772926309399,10.41879853672369,486.700032149113,1
10000,1.0,0.0,0.0,0.0,0.0,0.0,486.700032149113,0
10000,1.0,0.01,1.1102230246251565e-16,0.0,0.0,0.0,486.700032149113,0
10000,1.5,0.0,0.007808961955529825,1.0,-1.9560035187292986,-6.918557246111465,486.700032149113,1
10000,1.5,0.01,0.008633925890048078,1.0,-1.9560035187292986,-6.918557246111465,486.700032149113,1
10000,2.0,0.0,0.021785744634067128,1.0,-2.1112156060410823,-11.622339464410192,486.700032149113,1
10000,2.0,0.01,0.02383172428108804,1.0,-2.1112156060410823,-11.622339464410192,486.700032149113,1
30000,0.0,0.0,0.9418723667317019,1.0,-62.27027001649871,55.26020316904534,1460.100096447339,1
30000,0.0,0.01,0.9181853378876957,1.0,-62.27027001649871,55.26020316904534,1460.100096447339,1
30000,0.5,0.0,0.2782518110363442,1.0,13.676006446083548,17.84240822958719,1460.100096447339,1
30000,0.5,0.01,0.26728594309899256,1.0,13.676006446083548,17.84240822958719,1460.100096447339,1
30000,1.0,0.0,0.0,0.0,0.0,0.0,1460.100096447339,0
30000,1.0,0.01,0.0,0.0,0.0,0.0,1460.100096447339,0
30000,1.5,0.0,0.13661808554365917,1.0,-2.2170977252324726,-10.776054030702646,1460.100096447339,1
30000,1.5,0.01,0.1090761610007227,1.0,-2.2170977252324726,-10.776054030702646,1460.100096447339,1
30000,2.0,0.0,0.23075932159732337,1.0,-1.8880869971259195,-17.785579368719038,1460.100096447339,1
30000,2.0,0.01,0.1826306181244871,1.0,-1.8880869971259195,-17.785579368719038,1460.100096447339,1
100000,0.0,0.0,0.5989470385562382,1.0,24.140211449760407,84.7549415837586,4867.000321491129,1
100000,0.0,0.01,0.614459533495251,1.0,24.140211449760407,84.7549415837586,4867.000321491129,1
100000,0.5,0.0,0.14902201247415792,1.0,16.107811546458922,21.86655981648826,4867.000321491129,1
100000,0.5,0.01,0.14351102054653075,1.0,16.107811546458922,21.86655981648826,4867.000321491129,1
100000,1.0,0.0,0.0,0.0,0.0,0.0,4867.000321491129,0
100000,1.0,0.01,0.0,0.0,0.0,0.0,4867.000321491129,0
100000,1.5,0.0,0.005736214308291077,1.0,-2.442969299343878,-12.926129505352598,4867.000321491129,1
100000,1.5,0.01,0.005456117829196194,1.0,-2.442969299343878,-12.926129505352598,4867.000321491129,1
100000,2.0,0.0,0.00962405359254015,1.0,-1.903655106838311,-20.99506468551093,4867.000321491129,1
100000,2.0,0.01,0.008662278044059057,1.0,-1.903655106838311,-20.99506468551093,4867.000321491129,1
