type,detector,direction,operating_point,sigma,alpha,delta_alpha,sensitivity,detection_limit_delta,ci_lo,ci_hi,frac_censored
curve,dTmax,strengthen,3C_nominal,0.01,1.500000,0.500000,0.062500,,,,
curve,dTmax,strengthen,3C_nominal,0.01,2.000000,1.000000,0.062500,,,,
limit,dTmax,strengthen,3C_nominal,0.01,,,,>1.0 (strengthen),,,
curve,signature,weaken,2C_low_flow,0.01,1.000000,0.000000,0.000000,,,,
curve,signature,weaken,2C_low_flow,0.01,0.950000,0.050000,0.000000,,,,
curve,signature,weaken,2C_low_flow,0.01,0.900000,0.100000,0.125000,,,,
curve,signature,weaken,2C_low_flow,0.01,0.850000,0.150000,0.000000,,,,
curve,signature,weaken,2C_low_flow,0.01,0.750000,0.250000,0.062500,,,,
curve,signature,weaken,2C_low_flow,0.01,0.650000,0.350000,0.187500,,,,
curve,signature,weaken,2C_low_flow,0.01,0.500000,0.500000,0.062500,,,,
curve,signature,weaken,2C_low_flow,0.01,0.250000,0.750000,0.000000,,,,
curve,signature,weaken,2C_low_flow,0.01,0.000000,1.000000,1.000000,,,,
limit,signature,weaken,2C_low_flow,0.01,,,,0.975,,,
curve,Tmax,weaken,2C_low_flow,0.01,1.000000,0.000000,0.062500,,,,
curve,Tmax,weaken,2C_low_flow,0.01,0.950000,0.050000,0.062500,,,,
curve,Tmax,weaken,2C_low_flow,0.01,0.900000,0.100000,0.062500,,,,
curve,Tmax,weaken,2C_low_flow,0.01,0.850000,0.150000,0.062500,,,,
curve,Tmax,weaken,2C_low_flow,0.01,0.750000,0.250000,0.062500,,,,
curve,Tmax,weaken,2C_low_flow,0.01,0.650000,0.350000,0.062500,,,,
curve,Tmax,weaken,2C_low_flow,0.01,0.500000,0.500000,0.062500,,,,
curve,Tmax,weaken,2C_low_flow,0.01,0.250000,0.750000,0.062500,,,,
curve,Tmax,weaken,2C_low_flow,0.01,0.000000,1.000000,0.083333,,,,
limit,Tmax,weaken,2C_low_flow,0.01,,,,>1.0,,,
curve,dTmax,weaken,2C_low_flow,0.01,1.000000,0.000000,0.062500,,,,
curve,dTmax,weaken,2C_low_flow,0.01,0.950000,0.050000,0.062500,,,,
curve,dTmax,weaken,2C_low_flow,0.01,0.900000,0.100000,0.062500,,,,
curve,dTmax,weaken,2C_low_flow,0.01,0.850000,0.150000,0.062500,,,,
curve,dTmax,weaken,2C_low_flow,0.01,0.750000,0.250000,0.062500,,,,
curve,dTmax,weaken,2C_low_flow,0.01,0.650000,0.350000,0.062500,,,,
curve,dTmax,weaken,2C_low_flow,0.01,0.500000,0.500000,0.062500,,,,
curve,dTmax,weaken,2C_low_flow,0.01,0.250000,0.750000,0.062500,,,,
curve,dTmax,weaken,2C_low_flow,0.01,0.000000,1.000000,0.083333,,,,
limit,dTmax,weaken,2C_low_flow,0.01,,,,>1.0,,,
curve,signature,strengthen,2C_low_flow,0.01,1.000000,0.000000,0.000000,,,,
curve,signature,strengthen,2C_low_flow,0.01,1.050000,0.050000,0.104167,,,,
curve,signature,strengthen,2C_low_flow,0.01,1.100000,0.100000,0.145833,,,,
curve,signature,strengthen,2C_low_flow,0.01,1.150000,0.150000,0.041667,,,,
curve,signature,strengthen,2C_low_flow,0.01,1.250000,0.250000,0.020833,,,,
curve,signature,strengthen,2C_low_flow,0.01,1.500000,0.500000,0.000000,,,,
curve,signature,strengthen,2C_low_flow,0.01,2.000000,1.000000,0.041667,,,,
limit,signature,strengthen,2C_low_flow,0.01,,,,>1.0 (strengthen),,,
curve,Tmax,strengthen,2C_low_flow,0.01,1.000000,0.000000,0.062500,,,,
curve,Tmax,strengthen,2C_low_flow,0.01,1.050000,0.050000,0.062500,,,,
curve,Tmax,strengthen,2C_low_flow,0.01,1.100000,0.100000,0.062500,,,,
curve,Tmax,strengthen,2C_low_flow,0.01,1.150000,0.150000,0.062500,,,,
curve,Tmax,strengthen,2C_low_flow,0.01,1.250000,0.250000,0.062500,,,,
curve,Tmax,strengthen,2C_low_flow,0.01,1.500000,0.500000,0.062500,,,,
curve,Tmax,strengthen,2C_low_flow,0.01,2.000000,1.000000,0.062500,,,,
limit,Tmax,strengthen,2C_low_flow,0.01,,,,>1.0 (strengthen),,,
curve,dTmax,strengthen,2C_low_flow,0.01,1.000000,0.000000,0.062500,,,,
curve,dTmax,strengthen,2C_low_flow,0.01,1.050000,0.050000,0.062500,,,,
curve,dTmax,strengthen,2C_low_flow,0.01,1.100000,0.100000,0.062500,,,,
curve,dTmax,strengthen,2C_low_flow,0.01,1.150000,0.150000,0.062500,,,,
curve,dTmax,strengthen,2C_low_flow,0.01,1.250000,0.250000,0.062500,,,,
curve,dTmax,strengthen,2C_low_flow,0.01,1.500000,0.500000,0.062500,,,,
curve,dTmax,strengthen,2C_low_flow,0.01,2.000000,1.000000,0.062500,,,,
limit,dTmax,strengthen,2C_low_flow,0.01,,,,>1.0 (strengthen),,,
curve,signature,weaken,2C_high_flow,0.01,1.000000,0.000000,0.000000,,,,
curve,signature,weaken,2C_high_flow,0.01,0.950000,0.050000,0.020833,,,,
curve,signature,weaken,2C_high_flow,0.01,0.900000,0.100000,0.000000,,,,
curve,signature,weaken,2C_high_flow,0.01,0.850000,0.150000,0.062500,,,,
curve,signature,weaken,2C_high_flow,0.01,0.750000,0.250000,0.083333,,,,
curve,signature,weaken,2C_high_flow,0.01,0.650000,0.350000,0.000000,,,,
curve,signature,weaken,2C_high_flow,0.01,0.500000,0.500000,0.000000,,,,
curve,signature,weaken,2C_high_flow,0.01,0.250000,0.750000,0.020833,,,,
curve,signature,weaken,2C_high_flow,0.01,0.000000,1.000000,0.875000,,,,
limit,signature,weaken,2C_high_flow,0.01,,,,>1.0,,,
curve,Tmax,weaken,2C_high_flow,0.01,1.000000,0.000000,0.062500,,,,
curve,Tmax,weaken,2C_high_flow,0.01,0.950000,0.050000,0.062500,,,,
curve,Tmax,weaken,2C_high_flow,0.01,0.900000,0.100000,0.062500,,,,
curve,Tmax,weaken,2C_high_flow,0.01,0.850000,0.150000,0.062500,,,,
curve,Tmax,weaken,2C_high_flow,0.01,0.750000,0.250000,0.062500,,,,
curve,Tmax,weaken,2C_high_flow,0.01,0.650000,0.350000,0.062500,,,,
curve,Tmax,weaken,2C_high_flow,0.01,0.500000,0.500000,0.062500,,,,
curve,Tmax,weaken,2C_high_flow,0.01,0.250000,0.750000,0.062500,,,,
curve,Tmax,weaken,2C_high_flow,0.01,0.000000,1.000000,0.145833,,,,
limit,Tmax,weaken,2C_high_flow,0.01,,,,>1.0,,,
curve,dTmax,weaken,2C_high_flow,0.01,1.000000,0.000000,0.062500,,,,
curve,dTmax,weaken,2C_high_flow,0.01,0.950000,0.050000,0.062500,,,,
curve,dTmax,weaken,2C_high_flow,0.01,0.900000,0.100000,0.062500,,,,
curve,dTmax,weaken,2C_high_flow,0.01,0.850000,0.150000,0.062500,,,,
curve,dTmax,weaken,2C_high_flow,0.01,0.750000,0.250000,0.062500,,,,
curve,dTmax,weaken,2C_high_flow,0.01,0.650000,0.350000,0.062500,,,,
curve,dTmax,weaken,2C_high_flow,0.01,0.500000,0.500000,0.062500,,,,
curve,dTmax,weaken,2C_high_flow,0.01,0.250000,0.750000,0.062500,,,,
curve,dTmax,weaken,2C_high_flow,0.01,0.000000,1.000000,0.104167,,,,
limit,dTmax,weaken,2C_high_flow,0.01,,,,>1.0,,,
curve,signature,strengthen,2C_high_flow,0.01,1.000000,0.000000,0.000000,,,,
curve,signature,strengthen,2C_high_flow,0.01,1.050000,0.050000,0.041667,,,,
curve,signature,strengthen,2C_high_flow,0.01,1.100000,0.100000,0.020833,,,,
curve,signature,strengthen,2C_high_flow,0.01,1.150000,0.150000,0.000000,,,,
curve,signature,strengthen,2C_high_flow,0.01,1.250000,0.250000,0.000000,,,,
curve,signature,strengthen,2C_high_flow,0.01,1.500000,0.500000,0.000000,,,,
curve,signature,strengthen,2C_high_flow,0.01,2.000000,1.000000,0.041667,,,,
limit,signature,strengthen,2C_high_flow,0.01,,,,>1.0 (strengthen),,,
curve,Tmax,strengthen,2C_high_flow,0.01,1.000000,0.000000,0.062500,,,,
curve,Tmax,strengthen,2C_high_flow,0.01,1.050000,0.050000,0.062500,,,,
curve,Tmax,strengthen,2C_high_flow,0.01,1.100000,0.100000,0.062500,,,,
curve,Tmax,strengthen,2C_high_flow,0.01,1.150000,0.150000,0.062500,,,,
curve,Tmax,strengthen,2C_high_flow,0.01,1.250000,0.250000,0.062500,,,,
curve,Tmax,strengthen,2C_high_flow,0.01,1.500000,0.500000,0.062500,,,,
curve,Tmax,strengthen,2C_high_flow,0.01,2.000000,1.000000,0.062500,,,,
limit,Tmax,strengthen,2C_high_flow,0.01,,,,>1.0 (strengthen),,,
curve,dTmax,strengthen,2C_high_flow,0.01,1.000000,0.000000,0.062500,,,,
curve,dTmax,strengthen,2C_high_flow,0.01,1.050000,0.050000,0.062500,,,,
curve,dTmax,strengthen,2C_high_flow,0.01,1.100000,0.100000,0.062500,,,,
curve,dTmax,strengthen,2C_high_flow,0.01,1.150000,0.150000,0.062500,,,,
curve,dTmax,strengthen,2C_high_flow,0.01,1.250000,0.250000,0.062500,,,,
curve,dTmax,strengthen,2C_high_flow,0.01,1.500000,0.500000,0.062500,,,,
curve,dTmax,strengthen,2C_high_flow,0.01,2.000000,1.000000,0.062500,,,,
limit,dTmax,strengthen,2C_high_flow,0.01,,,,>1.0 (strengthen),,,
