type,noise,control_role,direction,method,alpha,delta_alpha,n_ic,n_acquisitions,detector_replicates,grid_n,library,sigma,target_tpr,fpr_target,tpr,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,detection_limit_delta_alpha,limit_lo,limit_hi,limit_censored_fraction,criterion,criterion_definition,pass
limit,lowpass,confirmatory,weaken,field_average,,,60,5,1,64,base5,0.01,0.95,0.05,,,,,,,0.5,0.4,0.5,0.0000,,,
curve,lowpass,confirmatory,strengthen,decision_average,1.1,0.1,60,5,5,64,base5,0.01,0.95,0.05,0.095833,0.067000,0.125671,0.056667,0.035833,0.078671,,,,,,,
curve,lowpass,confirmatory,strengthen,decision_average,1.2,0.2,60,5,5,64,base5,0.01,0.95,0.05,0.135333,0.100333,0.172171,0.051000,0.029496,0.076504,,,,,,,
curve,lowpass,confirmatory,strengthen,decision_average,1.3,0.3,60,5,5,64,base5,0.01,0.95,0.05,0.138833,0.105496,0.174667,0.046167,0.025492,0.070004,,,,,,,
curve,lowpass,confirmatory,strengthen,decision_average,1.4,0.4,60,5,5,64,base5,0.01,0.95,0.05,0.207833,0.159333,0.253846,0.055833,0.032996,0.079346,,,,,,,
curve,lowpass,confirmatory,strengthen,decision_average,1.5,0.5,60,5,5,64,base5,0.01,0.95,0.05,0.251833,0.199000,0.306004,0.052500,0.028163,0.080833,,,,,,,
limit,lowpass,confirmatory,strengthen,decision_average,,,60,5,5,64,base5,0.01,0.95,0.05,,,,,,,>0.5,>0.5,>0.5,1.0000,,,
curve,lowpass,confirmatory,strengthen,field_average,1.1,0.1,60,5,1,64,base5,0.01,0.95,0.05,0.103333,0.056667,0.158333,0.053333,0.020833,0.095833,,,,,,,
curve,lowpass,confirmatory,strengthen,field_average,1.2,0.2,60,5,1,64,base5,0.01,0.95,0.05,0.285833,0.197500,0.374167,0.045833,0.010813,0.095000,,,,,,,
curve,lowpass,confirmatory,strengthen,field_average,1.3,0.3,60,5,1,64,base5,0.01,0.95,0.05,0.245000,0.159979,0.333354,0.038333,0.010833,0.073354,,,,,,,
curve,lowpass,confirmatory,strengthen,field_average,1.4,0.4,60,5,1,64,base5,0.01,0.95,0.05,0.387500,0.293292,0.480854,0.057500,0.015833,0.105833,,,,,,,
curve,lowpass,confirmatory,strengthen,field_average,1.5,0.5,60,5,1,64,base5,0.01,0.95,0.05,0.406667,0.308333,0.514167,0.045000,0.011646,0.093333,,,,,,,
limit,lowpass,confirmatory,strengthen,field_average,,,60,5,1,64,base5,0.01,0.95,0.05,,,,,,,>0.5,>0.5,>0.5,1.0000,,,
curve,gradient,confirmatory,weaken,decision_average,0.9,0.1,60,5,5,64,base5,0.01,0.95,0.05,0.129667,0.097833,0.163675,0.054667,0.036000,0.075333,,,,,,,
curve,gradient,confirmatory,weaken,decision_average,0.8,0.2,60,5,5,64,base5,0.01,0.95,0.05,0.174333,0.127987,0.223837,0.045500,0.028996,0.062671,,,,,,,
curve,gradient,confirmatory,weaken,decision_average,0.7,0.3,60,5,5,64,base5,0.01,0.95,0.05,0.370167,0.314988,0.429667,0.046833,0.030000,0.067167,,,,,,,
curve,gradient,confirmatory,weaken,decision_average,0.6,0.4,60,5,5,64,base5,0.01,0.95,0.05,0.504833,0.447496,0.562175,0.049333,0.031996,0.070333,,,,,,,
curve,gradient,confirmatory,weaken,decision_average,0.5,0.5,60,5,5,64,base5,0.01,0.95,0.05,0.625167,0.563663,0.685346,0.045833,0.028167,0.065671,,,,,,,
limit,gradient,confirmatory,weaken,decision_average,,,60,5,5,64,base5,0.01,0.95,0.05,,,,,,,>0.5,>0.5,>0.5,1.0000,,,
curve,gradient,confirmatory,weaken,field_average,0.9,0.1,60,5,1,64,base5,0.01,0.95,0.05,0.210833,0.149167,0.280021,0.055833,0.022500,0.096667,,,,,,,
curve,gradient,confirmatory,weaken,field_average,0.8,0.2,60,5,1,64,base5,0.01,0.95,0.05,0.296667,0.216646,0.382500,0.056667,0.017500,0.107521,,,,,,,
curve,gradient,confirmatory,weaken,field_average,0.7,0.3,60,5,1,64,base5,0.01,0.95,0.05,0.507500,0.410833,0.601667,0.045000,0.012500,0.088333,,,,,,,
curve,gradient,confirmatory,weaken,field_average,0.6,0.4,60,5,1,64,base5,0.01,0.95,0.05,0.780000,0.701646,0.852500,0.051667,0.014167,0.100833,,,,,,,
curve,gradient,confirmatory,weaken,field_average,0.5,0.5,60,5,1,64,base5,0.01,0.95,0.05,0.910833,0.845812,0.965021,0.057500,0.019146,0.105854,,,,,,,
limit,gradient,confirmatory,weaken,field_average,,,60,5,1,64,base5,0.01,0.95,0.05,,,,,,,>0.5,0.5,>0.5,0.9075,,,
curve,gradient,confirmatory,strengthen,decision_average,1.1,0.1,60,5,5,64,base5,0.01,0.95,0.05,0.070833,0.051329,0.090833,0.057667,0.040000,0.078500,,,,,,,
curve,gradient,confirmatory,strengthen,decision_average,1.2,0.2,60,5,5,64,base5,0.01,0.95,0.05,0.177833,0.138667,0.220837,0.049000,0.032500,0.067004,,,,,,,
curve,gradient,confirmatory,strengthen,decision_average,1.3,0.3,60,5,5,64,base5,0.01,0.95,0.05,0.263500,0.214996,0.314000,0.046167,0.029000,0.065000,,,,,,,
curve,gradient,confirmatory,strengthen,decision_average,1.4,0.4,60,5,5,64,base5,0.01,0.95,0.05,0.398833,0.340496,0.460167,0.059667,0.040833,0.081837,,,,,,,
curve,gradient,confirmatory,strengthen,decision_average,1.5,0.5,60,5,5,64,base5,0.01,0.95,0.05,0.504167,0.442167,0.566504,0.045167,0.028833,0.063667,,,,,,,
limit,gradient,confirmatory,strengthen,decision_average,,,60,5,5,64,base5,0.01,0.95,0.05,,,,,,,>0.5,>0.5,>0.5,1.0000,,,
curve,gradient,confirmatory,strengthen,field_average,1.1,0.1,60,5,1,64,base5,0.01,0.95,0.05,0.083333,0.028333,0.145021,0.048333,0.019167,0.084187,,,,,,,
curve,gradient,confirmatory,strengthen,field_average,1.2,0.2,60,5,1,64,base5,0.01,0.95,0.05,0.281667,0.188313,0.379167,0.058333,0.015833,0.112500,,,,,,,
curve,gradient,confirmatory,strengthen,field_average,1.3,0.3,60,5,1,64,base5,0.01,0.95,0.05,0.491667,0.380813,0.600833,0.063333,0.021667,0.115000,,,,,,,
curve,gradient,confirmatory,strengthen,field_average,1.4,0.4,60,5,1,64,base5,0.01,0.95,0.05,0.584167,0.476667,0.688333,0.047500,0.015833,0.091667,,,,,,,
curve,gradient,confirmatory,strengthen,field_average,1.5,0.5,60,5,1,64,base5,0.01,0.95,0.05,0.726667,0.636646,0.810854,0.054167,0.015833,0.102500,,,,,,,
limit,gradient,confirmatory,strengthen,field_average,,,60,5,1,64,base5,0.01,0.95,0.05,,,,,,,>0.5,>0.5,>0.5,1.0000,,,
curve,multiplicative,confirmatory,weaken,decision_average,0.9,0.1,60,5,5,64,base5,0.01,0.95,0.05,0.085167,0.062163,0.109667,0.053667,0.035000,0.075337,,,,,,,
curve,multiplicative,confirmatory,weaken,decision_average,0.8,0.2,60,5,5,64,base5,0.01,0.95,0.05,0.193833,0.152154,0.236004,0.054667,0.034167,0.079837,,,,,,,
curve,multiplicative,confirmatory,weaken,decision_average,0.7,0.3,60,5,5,64,base5,0.01,0.95,0.05,0.268833,0.215000,0.324833,0.046000,0.026492,0.067671,,,,,,,
curve,multiplicative,confirmatory,weaken,decision_average,0.6,0.4,60,5,5,64,base5,0.01,0.95,0.05,0.476833,0.416996,0.539171,0.053500,0.034333,0.075842,,,,,,,
curve,multiplicative,confirmatory,weaken,decision_average,0.5,0.5,60,5,5,64,base5,0.01,0.95,0.05,0.604667,0.548496,0.658842,0.052667,0.034329,0.073500,,,,,,,
limit,multiplicative,confirmatory,weaken,decision_average,,,60,5,5,64,base5,0.01,0.95,0.05,,,,,,,>0.5,>0.5,>0.5,1.0000,,,
curve,multiplicative,confirmatory,weaken,field_average,0.9,0.1,60,5,1,64,base5,0.01,0.95,0.05,0.120833,0.071667,0.177500,0.065000,0.026667,0.111687,,,,,,,
curve,multiplicative,confirmatory,weaken,field_average,0.8,0.2,60,5,1,64,base5,0.01,0.95,0.05,0.331667,0.259167,0.406667,0.055000,0.018333,0.100875,,,,,,,
curve,multiplicative,confirmatory,weaken,field_average,0.7,0.3,60,5,1,64,base5,0.01,0.95,0.05,0.561667,0.471667,0.644188,0.055833,0.013333,0.103354,,,,,,,
curve,multiplicative,confirmatory,weaken,field_average,0.6,0.4,60,5,1,64,base5,0.01,0.95,0.05,0.915833,0.865000,0.960833,0.048333,0.012500,0.094187,,,,,,,
curve,multiplicative,confirmatory,weaken,field_average,0.5,0.5,60,5,1,64,base5,0.01,0.95,0.05,0.963333,0.915000,0.995000,0.057500,0.017500,0.106667,,,,,,,
limit,multiplicative,confirmatory,weaken,field_average,,,60,5,1,64,base5,0.01,0.95,0.05,,,,,,,0.5,0.4,>0.5,0.2205,,,
curve,multiplicative,confirmatory,strengthen,decision_average,1.1,0.1,60,5,5,64,base5,0.01,0.95,0.05,0.093000,0.070662,0.118837,0.047333,0.029500,0.067333,,,,,,,
curve,multiplicative,confirmatory,strengthen,decision_average,1.2,0.2,60,5,5,64,base5,0.01,0.95,0.05,0.201167,0.160333,0.242504,0.050500,0.032667,0.071833,,,,,,,
curve,multiplicative,confirmatory,strengthen,decision_average,1.3,0.3,60,5,5,64,base5,0.01,0.95,0.05,0.312667,0.257663,0.370667,0.051500,0.032154,0.073837,,,,,,,
curve,multiplicative,confirmatory,strengthen,decision_average,1.4,0.4,60,5,5,64,base5,0.01,0.95,0.05,0.497000,0.439163,0.552504,0.051000,0.033500,0.068504,,,,,,,
curve,multiplicative,confirmatory,strengthen,decision_average,1.5,0.5,60,5,5,64,base5,0.01,0.95,0.05,0.638333,0.583996,0.688167,0.047167,0.031167,0.064167,,,,,,,
limit,multiplicative,confirmatory,strengthen,decision_average,,,60,5,5,64,base5,0.01,0.95,0.05,,,,,,,>0.5,>0.5,>0.5,1.0000,,,
curve,multiplicative,confirmatory,strengthen,field_average,1.1,0.1,60,5,1,64,base5,0.01,0.95,0.05,0.118333,0.065833,0.178333,0.047500,0.013333,0.092500,,,,,,,
curve,multiplicative,confirmatory,strengthen,field_average,1.2,0.2,60,5,1,64,base5,0.01,0.95,0.05,0.284167,0.199146,0.364167,0.053333,0.019167,0.099167,,,,,,,
curve,multiplicative,confirmatory,strengthen,field_average,1.3,0.3,60,5,1,64,base5,0.01,0.95,0.05,0.431667,0.326667,0.533354,0.060000,0.018333,0.109167,,,,,,,
curve,multiplicative,confirmatory,strengthen,field_average,1.4,0.4,60,5,1,64,base5,0.01,0.95,0.05,0.600000,0.492500,0.698333,0.051667,0.018333,0.097521,,,,,,,
curve,multiplicative,confirmatory,strengthen,field_average,1.5,0.5,60,5,1,64,base5,0.01,0.95,0.05,0.805833,0.736667,0.869167,0.041667,0.009167,0.083333,,,,,,,
limit,multiplicative,confirmatory,strengthen,field_average,,,60,5,1,64,base5,0.01,0.95,0.05,,,,,,,>0.5,>0.5,>0.5,1.0000,,,
criterion,,,,,,,60,5,,64,base5,0.01,0.95,0.05,,,,,,,,,,,white_positive_control,"Both white-noise direction limits resolve for both methods, and each field-averaged limit is no larger than its decision-averaged baseline.",0
criterion,,,,,,,60,5,,64,base5,0.01,0.95,0.05,,,,,,,,,,,structured_recovery,All six structured-noise field-averaged direction limits resolve and are strictly smaller than their decision-averaged baselines; a censored baseline is larger than every resolved sampled limit.,0
criterion,,,,,,,60,5,,64,base5,0.01,0.95,0.05,,,,,,,,,,,overall_go,White positive control and structured recovery both pass.,0
