protocol_id,py_pde_version,required_py_pde_version,criteria_sha256,dt_policy,n_ics,grid_sizes,dt_values,step_counts,cfl,t_final,length,speed,diffusivity,max_mode,seed,solver_a,solver_b,gate,metric,comparison,lower,upper,value,passed,verdict,numerical_failures
library-multires-euler-rk-v1,0.56.0,0.56.0,be84c8f4740805d38e8b1b2b46660961429f00a19eeb2ba8e9c062b1aeec94f9,dt=cfl*dx,60,32;48;72;108,0.012500000000000001;0.0083333333333333332;0.0055555555555555558;0.0037037037037037038,8;12;18;27,0.4,0.1,1.0,1.0,0.01,5,2026,EulerSolver,RungeKuttaSolver,all numerical solves completed,solver_failure_count,le,,0.0,0.0,True,GO,
library-multires-euler-rk-v1,0.56.0,0.56.0,be84c8f4740805d38e8b1b2b46660961429f00a19eeb2ba8e9c062b1aeec94f9,dt=cfl*dx,60,32;48;72;108,0.012500000000000001;0.0083333333333333332;0.0055555555555555558;0.0037037037037037038,8;12;18;27,0.4,0.1,1.0,1.0,0.01,5,2026,EulerSolver,RungeKuttaSolver,paired grouped-LOO accuracy,accuracy,ge,0.9,,1.0,True,GO,
library-multires-euler-rk-v1,0.56.0,0.56.0,be84c8f4740805d38e8b1b2b46660961429f00a19eeb2ba8e9c062b1aeec94f9,dt=cfl*dx,60,32;48;72;108,0.012500000000000001;0.0083333333333333332;0.0055555555555555558;0.0037037037037037038,8;12;18;27,0.4,0.1,1.0,1.0,0.01,5,2026,EulerSolver,RungeKuttaSolver,Euler median rate is first order,euler_median_rate,between,0.75,1.25,1.0763356571721667,True,GO,
library-multires-euler-rk-v1,0.56.0,0.56.0,be84c8f4740805d38e8b1b2b46660961429f00a19eeb2ba8e9c062b1aeec94f9,dt=cfl*dx,60,32;48;72;108,0.012500000000000001;0.0083333333333333332;0.0055555555555555558;0.0037037037037037038,8;12;18;27,0.4,0.1,1.0,1.0,0.01,5,2026,EulerSolver,RungeKuttaSolver,Runge-Kutta median rate is second order,rk_median_rate,between,1.7,2.3,1.9911008947293296,True,GO,
library-multires-euler-rk-v1,0.56.0,0.56.0,be84c8f4740805d38e8b1b2b46660961429f00a19eeb2ba8e9c062b1aeec94f9,dt=cfl*dx,60,32;48;72;108,0.012500000000000001;0.0083333333333333332;0.0055555555555555558;0.0037037037037037038,8;12;18;27,0.4,0.1,1.0,1.0,0.01,5,2026,EulerSolver,RungeKuttaSolver,median paired rate gap,median_paired_rate_gap,ge,0.6,,0.9141686607857387,True,GO,
library-multires-euler-rk-v1,0.56.0,0.56.0,be84c8f4740805d38e8b1b2b46660961429f00a19eeb2ba8e9c062b1aeec94f9,dt=cfl*dx,60,32;48;72;108,0.012500000000000001;0.0083333333333333332;0.0055555555555555558;0.0037037037037037038,8;12;18;27,0.4,0.1,1.0,1.0,0.01,5,2026,EulerSolver,RungeKuttaSolver,per-IC rate ordering fraction,rate_ordering_fraction,ge,0.9,,1.0,True,GO,
library-multires-euler-rk-v1,0.56.0,0.56.0,be84c8f4740805d38e8b1b2b46660961429f00a19eeb2ba8e9c062b1aeec94f9,dt=cfl*dx,60,32;48;72;108,0.012500000000000001;0.0083333333333333332;0.0055555555555555558;0.0037037037037037038,8;12;18;27,0.4,0.1,1.0,1.0,0.01,5,2026,EulerSolver,RungeKuttaSolver,coarsest-pair accuracy,coarse_pair_accuracy,ge,0.8,,1.0,True,GO,
library-multires-euler-rk-v1,0.56.0,0.56.0,be84c8f4740805d38e8b1b2b46660961429f00a19eeb2ba8e9c062b1aeec94f9,dt=cfl*dx,60,32;48;72;108,0.012500000000000001;0.0083333333333333332;0.0055555555555555558;0.0037037037037037038,8;12;18;27,0.4,0.1,1.0,1.0,0.01,5,2026,EulerSolver,RungeKuttaSolver,finest-pair accuracy,fine_pair_accuracy,ge,0.8,,1.0,True,GO,
