type,slice,grid_n,library,n_terms,noise,direction,alpha,delta_alpha,n_ic,n_noise,tpr,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,fpr_target,mean_angle_deg,detection_limit_delta_alpha,limit_lo,limit_hi,limit_censored_fraction,interp_ms,ref_interp_ms,derivative_ms,lstsq_ms,design_matrix_mb,design_rows
curve,grid|library|noise,64,base5,5,white,strengthen,1.4,0.4,60,5,0.968000,0.957500,0.977171,0.050500,0.031496,0.072333,0.05,9.9206,,,,,,,,,,
curve,grid|library|noise,64,base5,5,white,strengthen,1.5,0.5,60,5,0.998333,0.997000,0.999500,0.053833,0.031500,0.080167,0.05,12.9787,,,,,,,,,,
limit,grid|library|noise,64,base5,5,white,strengthen,,,60,5,,,,,,,0.05,12.9787,0.4,0.4,0.4,0.0000,,,,,,
nominal,library,64,second3,3,white,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,library,64,second3,3,white,weaken,0.9,0.1,60,5,0.130500,0.075479,0.188171,0.045000,0.026000,0.068017,0.05,2.3621,,,,,,,,,,
curve,library,64,second3,3,white,weaken,0.8,0.2,60,5,0.244667,0.149833,0.348833,0.047500,0.027325,0.070500,0.05,4.5923,,,,,,,,,,
curve,library,64,second3,3,white,weaken,0.7,0.3,60,5,0.267000,0.154496,0.377367,0.047833,0.027833,0.071504,0.05,7.1642,,,,,,,,,,
curve,library,64,second3,3,white,weaken,0.6,0.4,60,5,0.311167,0.214137,0.419842,0.055667,0.031333,0.084333,0.05,10.0645,,,,,,,,,,
curve,library,64,second3,3,white,weaken,0.5,0.5,60,5,0.400500,0.310987,0.490333,0.060000,0.033333,0.090337,0.05,13.4995,,,,,,,,,,
limit,library,64,second3,3,white,weaken,,,60,5,,,,,,,0.05,13.4995,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,library,64,second3,3,white,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,library,64,second3,3,white,strengthen,1.1,0.1,60,5,0.116333,0.081162,0.156000,0.044667,0.025833,0.068500,0.05,2.3771,,,,,,,,,,
curve,library,64,second3,3,white,strengthen,1.2,0.2,60,5,0.223500,0.192492,0.256333,0.053333,0.032000,0.080671,0.05,4.4951,,,,,,,,,,
curve,library,64,second3,3,white,strengthen,1.3,0.3,60,5,0.329167,0.288829,0.370679,0.047167,0.027996,0.071171,0.05,6.9860,,,,,,,,,,
curve,library,64,second3,3,white,strengthen,1.4,0.4,60,5,0.512333,0.464150,0.560350,0.046833,0.030333,0.065504,0.05,9.6426,,,,,,,,,,
curve,library,64,second3,3,white,strengthen,1.5,0.5,60,5,0.664667,0.620833,0.708837,0.045167,0.029667,0.062833,0.05,12.6319,,,,,,,,,,
limit,library,64,second3,3,white,strengthen,,,60,5,,,,,,,0.05,12.6319,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,library,64,first_plus_base7,7,white,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,weaken,0.9,0.1,60,5,0.145000,0.093662,0.200671,0.050000,0.028500,0.075167,0.05,1.6681,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,weaken,0.8,0.2,60,5,0.331000,0.254137,0.413012,0.043667,0.023833,0.065667,0.05,3.6394,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,weaken,0.7,0.3,60,5,0.675667,0.615496,0.735012,0.054167,0.029500,0.081675,0.05,7.1803,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,weaken,0.6,0.4,60,5,0.906833,0.879329,0.932338,0.045000,0.022329,0.072842,0.05,13.0873,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,weaken,0.5,0.5,60,5,0.998167,0.996167,0.999667,0.048333,0.024000,0.079675,0.05,21.9107,,,,,,,,,,
limit,library,64,first_plus_base7,7,white,weaken,,,60,5,,,,,,,0.05,21.9107,0.5,0.5,0.5,0.0000,,,,,,
nominal,library,64,first_plus_base7,7,white,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,strengthen,1.1,0.1,60,5,0.171833,0.131167,0.214171,0.046333,0.028158,0.067337,0.05,1.1458,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,strengthen,1.2,0.2,60,5,0.384167,0.328167,0.441842,0.057500,0.036829,0.081000,0.05,1.9830,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,strengthen,1.3,0.3,60,5,0.574000,0.525483,0.623338,0.053000,0.033163,0.074504,0.05,2.6557,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,strengthen,1.4,0.4,60,5,0.773000,0.728475,0.813837,0.051667,0.031667,0.072833,0.05,3.3911,,,,,,,,,,
curve,library,64,first_plus_base7,7,white,strengthen,1.5,0.5,60,5,0.868833,0.834996,0.899167,0.048000,0.028163,0.071167,0.05,4.0306,,,,,,,,,,
limit,library,64,first_plus_base7,7,white,strengthen,,,60,5,,,,,,,0.05,4.0306,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,library,64,mixed_plus_base7,7,white,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,weaken,0.9,0.1,60,5,0.138500,0.099662,0.182508,0.043167,0.024000,0.064337,0.05,2.4513,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,weaken,0.8,0.2,60,5,0.401167,0.329329,0.475337,0.048833,0.030167,0.069504,0.05,4.7545,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,weaken,0.7,0.3,60,5,0.618833,0.548662,0.686175,0.053500,0.032496,0.077504,0.05,7.3823,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,weaken,0.6,0.4,60,5,0.830000,0.778000,0.876167,0.045833,0.026163,0.067671,0.05,10.3559,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,weaken,0.5,0.5,60,5,0.960833,0.944333,0.975500,0.057167,0.034667,0.081837,0.05,13.8905,,,,,,,,,,
limit,library,64,mixed_plus_base7,7,white,weaken,,,60,5,,,,,,,0.05,13.8905,0.5,0.5,>0.5,0.0875,,,,,,
nominal,library,64,mixed_plus_base7,7,white,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,strengthen,1.1,0.1,60,5,0.145667,0.108329,0.188504,0.049833,0.033000,0.068000,0.05,2.4600,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,strengthen,1.2,0.2,60,5,0.394000,0.325487,0.464504,0.051167,0.033833,0.071171,0.05,4.7222,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,strengthen,1.3,0.3,60,5,0.627667,0.552146,0.697004,0.052667,0.033833,0.072833,0.05,7.3582,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,strengthen,1.4,0.4,60,5,0.817333,0.770500,0.861675,0.056000,0.034163,0.080000,0.05,10.1912,,,,,,,,,,
curve,library,64,mixed_plus_base7,7,white,strengthen,1.5,0.5,60,5,0.935667,0.910992,0.958838,0.047000,0.027163,0.069667,0.05,13.3108,,,,,,,,,,
limit,library,64,mixed_plus_base7,7,white,strengthen,,,60,5,,,,,,,0.05,13.3108,>0.5,0.5,>0.5,0.8655,,,,,,
nominal,library,64,full9,9,white,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,library,64,full9,9,white,weaken,0.9,0.1,60,5,0.145000,0.097662,0.195683,0.048333,0.022000,0.079008,0.05,1.6563,,,,,,,,,,
curve,library,64,full9,9,white,weaken,0.8,0.2,60,5,0.421000,0.353321,0.494537,0.051000,0.027833,0.078000,0.05,3.6097,,,,,,,,,,
curve,library,64,full9,9,white,weaken,0.7,0.3,60,5,0.643667,0.587825,0.701838,0.047667,0.027167,0.073004,0.05,7.1211,,,,,,,,,,
curve,library,64,full9,9,white,weaken,0.6,0.4,60,5,0.858833,0.819158,0.895337,0.050000,0.029333,0.075667,0.05,12.9881,,,,,,,,,,
curve,library,64,full9,9,white,weaken,0.5,0.5,60,5,0.982000,0.969000,0.993004,0.048500,0.026000,0.072337,0.05,21.7865,,,,,,,,,,
limit,library,64,full9,9,white,weaken,,,60,5,,,,,,,0.05,21.7865,0.5,0.5,0.5,0.0000,,,,,,
nominal,library,64,full9,9,white,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,library,64,full9,9,white,strengthen,1.1,0.1,60,5,0.182000,0.141333,0.225846,0.056667,0.032333,0.086671,0.05,1.1342,,,,,,,,,,
curve,library,64,full9,9,white,strengthen,1.2,0.2,60,5,0.446167,0.382658,0.508671,0.049000,0.028167,0.072175,0.05,1.9573,,,,,,,,,,
curve,library,64,full9,9,white,strengthen,1.3,0.3,60,5,0.743167,0.694333,0.788833,0.053500,0.032333,0.077504,0.05,2.6206,,,,,,,,,,
curve,library,64,full9,9,white,strengthen,1.4,0.4,60,5,0.906000,0.882329,0.928500,0.052667,0.030496,0.077504,0.05,3.3353,,,,,,,,,,
curve,library,64,full9,9,white,strengthen,1.5,0.5,60,5,0.962000,0.947500,0.974667,0.047667,0.026500,0.071167,0.05,3.9565,,,,,,,,,,
limit,library,64,full9,9,white,strengthen,,,60,5,,,,,,,0.05,3.9565,0.5,0.5,>0.5,0.0430,,,,,,
nominal,noise,64,base5,5,lowpass,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,noise,64,base5,5,lowpass,weaken,0.9,0.1,60,5,0.099667,0.078662,0.122004,0.059500,0.044167,0.077504,0.05,19.2193,,,,,,,,,,
curve,noise,64,base5,5,lowpass,weaken,0.8,0.2,60,5,0.151000,0.122492,0.183508,0.052667,0.034996,0.073842,0.05,20.6382,,,,,,,,,,
curve,noise,64,base5,5,lowpass,weaken,0.7,0.3,60,5,0.279500,0.234658,0.325667,0.052500,0.034667,0.074671,0.05,20.5275,,,,,,,,,,
curve,noise,64,base5,5,lowpass,weaken,0.6,0.4,60,5,0.522000,0.469329,0.571354,0.057333,0.037329,0.078167,0.05,22.9268,,,,,,,,,,
curve,noise,64,base5,5,lowpass,weaken,0.5,0.5,60,5,0.684500,0.642667,0.733013,0.049333,0.032333,0.069671,0.05,25.6795,,,,,,,,,,
limit,noise,64,base5,5,lowpass,weaken,,,60,5,,,,,,,0.05,25.6795,>0.5,>0.5,>0.5,1.0000,,,,,,
nominal,noise,64,base5,5,lowpass,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
