question,recipe,measured
solver_runs_for_rate_detection,"min 2 grids (det>=0.85 & margin>=0.20)","k=2:0.93 k=3:0.92 k=6:0.91; NC2 k=2:0.53 k=6:0.54"
reference_fineness_for_attribution,"1x suffices for attribution","attrib 1x=0.87 4x=1.00 8x=1.00"
reference_fineness_for_recovery,"2-4x for coefficient recovery (worst scheme)","worst-scheme drift 1x=1.57 2x=0.06 4x=0.016 rad (LW solver vs LW ref cancels at 1x)"
library_filter_robustness,"any reasonable library/filter","detection min=0.85 median=0.99 max=1.00 across 15 cells"
