noise,id9way,floor,limiter3way,nc1,nc2,coherence_limiter,coherence_classic
0.0,0.6520,0.0740,0.8133,0.6283,0.6980,0.16,5.54
0.01,0.5960,0.0820,0.7600,0.6597,0.7120,0.22,0.82
